country_code,city,funding_total_usd,funding_rounds,founded_year,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,post_ipo_equity,post_ipo_debt,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H,company_count,Latitude,Longitude
USA,Woods Hole,13600000,2,0.0,0,0,0,0,0,0,0,13600000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41.5264977,-70.6730857
USA,Woodside,10000,1,2011.0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40.753295200000004,-73.9068973
USA,Woodstock,15349822,8,4016.0,0,11549822,0,0,3800000,0,0,0,0,0,0,0,0,1475000,1950000,0,0,0,0,0,0,4,43.62424420000001,-72.51851119999998
USA,Woonsocket,1171464,2,0.0,0,1171464,0,0,0,0,0,0,0,0,0,0,0,600000,0,0,0,0,0,0,0,1,42.00287609999999,-71.51478390000003
USA,Wooster,15650000,5,6028.0,400000,15250000,0,0,0,0,0,0,0,0,0,0,0,11250000,4000000,0,0,0,0,0,0,3,40.8050565,-81.93514300000002
USA,Worcester,98359549,28,8013.0,0,51565428,60000,0,0,5034121,0,21700000,0,20000000,0,0,0,0,22380005,0,0,2540000,0,0,0,11,42.26259320000001,-71.8022934
USA,Worland,1611364,1,2009.0,0,1611364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44.01690139999999,-107.95537209999999
USA,Wrentham,1954250,2,0.0,0,1954250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42.0667652,-71.32811140000003
USA,Wrightsville Beach,1000000,1,2012.0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,0,0,0,1,34.2085036,-77.7963709
USA,Wyckoff,1100000,2,0.0,500000,0,0,0,0,0,600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41.0095316,-74.1729106
USA,Wynnewood,5419487,9,2008.0,0,275000,0,0,0,5144487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,39.99959129999999,-75.27301800000002
